symbol,fullName,sector,ltp,point_change,percentage_change,volume,amount
RURU,Ru Ru Jalbidhyut Pariyojana Limited,HydroPower,614,1.9,0.31,10900,6807373.6
SABBL,Salapa Bikas Bank Limited,Development Bank,979,-6,-0.61,24385,23721888.2
SADBL,Shangrila Development Bank,Development Bank,408.4,-0.6,-0.15,3960,1621793.9
SAEF2,Sanima Equity Fund-2,Mutual Fund,9.5,0,0,0,119230
SAGAR,Sagar Distillery Limited,Manu.& Pro.,1750,0,0,4058,7013258.2
SAGF,Sanima Growth Fund,Mutual Fund,10.26,-0.31,-2.93,0,1026
SAHAS,Sahas Urja Limited,HydroPower,671.9,-0.1,-0.01,46722,31324141.3
SAIL,Shreenagar Agritech Industries Limited,Manu.& Pro.,1090,-9,-0.82,28817,31269895.2
SALICO,Sagarmatha Lumbini Insurance Co. Limited,Non Life Insurance,589,3,0.51,4215,2487300.8
SANIMA,Sanima Bank,Banking,370,-3.7,-0.99,461280,170879913.2
SANVI,Sanvi Energy Limited,HydroPower,590,-7,-1.17,10045,5928939.3
SAPDBL,Saptakoshi Development Bank Ltd,Development Bank,839.9,22.9,2.8,24319,20108305
SARBTM,Sarbottam Cement Limited,Manu.& Pro.,785,2,0.26,2373,1860862.2
SBCF,Sunrise Bluechip Fund,Mutual Fund,9.44,-0.06,-0.63,0,102440
SBI,Nepal Sbi Bank,Banking,405.9,-0.5,-0.12,10867,4388143.8
SBID83,10.25% Nepal SBI Bank Debenture 2083,Bond,1031,-9,-0.87,0,103101.5
SBL,Siddhartha Bank,Banking,410,-1,-0.24,86200,35293380.6
SCB,Standard Chartered Bank,Banking,648,-6,-0.92,8192,5314880.7
SEF,Siddhartha Equity Fund,Mutual Fund,9.91,0.1,1.02,0,13754.1
SEF2,Siddhartha Equity Fund 2,Mutual Fund,9.15,-0.01,-0.11,0,356587.36
SFEF,Sunrise Focused Equity Fund,Mutual Fund,9.98,0.13,1.32,0,337280
SFMF,Sunrise First Mutual Fund,Mutual Fund,10.19,0,0,0,14892
SGHC,Swet-Ganga Hydropower & Construction Limited,HydroPower,315.3,-3.2,-1,38765,12288411.4
SGHL,Sanigad Hydro Limited,HydroPower,518,-7.6,-1.45,50921,26561662.2
SGIC,Sanima GIC Insurance Limited,Non Life Insurance,452,-4.3,-0.94,10822,4913874.1
SHEL,Singati Hydro Energy Limited,HydroPower,307,0.11,0.04,47541,14472712.5
SHINE,Shine Resunga Development Bank,Development Bank,407.2,-1,-0.24,7440,3038684.5
SHINED,Shine Resunga Debenture,Bond,1095,11,1.01,0,54750
SHIVM,Shivam Cements Ltd,Manu.& Pro.,637.7,-7.3,-1.13,44267,28343073.8
SHL,Soaltee Hotel,Hotels And Tourism,499.1,0.5,0.1,16785,8387335
SHLB,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance,1475,-1.9,-0.13,108,156700
SHPC,Sanima Mai Hydropower,HydroPower,498.5,-1.4,-0.28,12536,6248058.9
SICL,Shikhar Insurance,Non Life Insurance,609.1,-7.8,-1.26,10149,6192593.7
SIFC,Shree Investment Finance,Finance,505.5,-4.5,-0.88,7215,3657912.9
SIGS3,Siddhartha Investment Growth Scheme 3,Mutual Fund,10.55,0.05,0.48,0,5624.5
SIKLES,Sikles Hydropower Limited,HydroPower,559,-1,-0.18,5586,3114256.7
SINDU,Sindhu Bikash Bank,Development Bank,691,-9,-1.29,9207,6357619.8
SIPD,Shikhar Power Development Limited,HydroPower,680,-10,-1.45,15418,10333131.9
SJCL,Sanjen Jalavidhyut Company Limited,HydroPower,273.5,1,0.37,6788,1844106.5
SJLIC,SuryaJyoti Life Insurance Company Limited,Life Insurance,412.6,-1.6,-0.39,6494,2678825
SKBBL,Sana Kisan Bikas Bank,Microfinance,749.9,-0.6,-0.08,5056,3780637.5
SKHEL,Suryakunda Hydro Electric Limited,HydroPower,990,1,0.1,1482,1445286.7
SKHL,Super Khudi Hydropower Limited,HydroPower,890,0,0,7040,6203718.5
SLBBL,Swarojgar Laghu Bitta Bikas Bank,Microfinance,802,3.7,0.46,1646,1304204.1
SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,Microfinance,982.1,-17,-1.7,1298,1275916
